2021-10-25 17:05:34,959 DEBUG   : filename is test1.mp4
2021-10-25 17:05:34,961 DEBUG   : /static/static/video path exist
2021-10-25 17:05:35,033 DEBUG   : test1.mp4 save successfully
2021-10-25 17:05:35,136 DEBUG   : filename is test2.mp4
2021-10-25 17:05:35,138 DEBUG   : /static/static/video path exist
2021-10-25 17:05:35,278 DEBUG   : test2.mp4 save successfully
2021-10-28 21:22:56,747 DEBUG   : filename is test1.mp4
2021-10-28 21:22:56,748 DEBUG   : /static/static/video path exist
2021-10-28 21:22:56,816 DEBUG   : test1.mp4 save successfully
2021-10-28 21:24:20,279 DEBUG   : filename is test1.mp4
2021-10-28 21:24:20,279 DEBUG   : /static/static/video path exist
2021-10-28 21:24:20,289 DEBUG   : test1.mp4 save successfully
2021-10-28 21:26:45,272 DEBUG   : filename is test1.mp4
2021-10-28 21:26:45,273 DEBUG   : /static/static/video path exist
2021-10-28 21:26:45,284 DEBUG   : test1.mp4 save successfully
2021-10-28 21:29:35,000 DEBUG   : filename is test1.mp4
2021-10-28 21:29:35,001 DEBUG   : /static/static/video path exist
2021-10-28 21:29:35,011 DEBUG   : test1.mp4 save successfully
2021-10-28 22:23:14,563 DEBUG   : filename is test1.mp4
2021-10-28 22:23:14,564 DEBUG   : /static/static/video path exist
2021-10-28 22:23:14,574 DEBUG   : test1.mp4 save successfully
2021-10-28 22:23:32,210 DEBUG   : filename is test1.mp4
2021-10-28 22:23:32,211 DEBUG   : /static/static/video path exist
2021-10-28 22:23:32,229 DEBUG   : test1.mp4 save successfully
2021-10-28 22:23:32,283 DEBUG   : filename is test2.mp4
2021-10-28 22:23:32,284 DEBUG   : /static/static/video path exist
2021-10-28 22:23:32,338 DEBUG   : test2.mp4 save successfully
2021-10-28 22:26:24,398 DEBUG   : filename is test1.mp4
2021-10-28 22:26:24,399 DEBUG   : /static/static/video path exist
2021-10-28 22:26:24,411 DEBUG   : test1.mp4 save successfully
2021-10-28 22:28:09,062 DEBUG   : filename is test1.mp4
2021-10-28 22:28:09,063 DEBUG   : /static/static/video path exist
2021-10-28 22:28:09,076 DEBUG   : test1.mp4 save successfully
2021-10-28 22:28:50,252 DEBUG   : filename is test1.mp4
2021-10-28 22:28:50,253 DEBUG   : /static/static/video path exist
2021-10-28 22:28:50,277 DEBUG   : test1.mp4 save successfully
2021-10-28 22:28:50,328 DEBUG   : filename is test2.mp4
2021-10-28 22:28:50,329 DEBUG   : /static/static/video path exist
2021-10-28 22:28:50,394 DEBUG   : test2.mp4 save successfully
2021-10-28 23:30:58,352 DEBUG   : filename is test1.mp4
2021-10-28 23:30:58,411 DEBUG   : /static/static/video path exist
2021-10-28 23:30:58,434 DEBUG   : test1.mp4 save successfully
2021-10-28 23:31:35,528 DEBUG   : filename is test1.mp4
2021-10-28 23:31:35,531 DEBUG   : /static/static/video path exist
2021-10-28 23:31:35,586 DEBUG   : test1.mp4 save successfully
2021-10-28 23:31:35,683 DEBUG   : filename is test2.mp4
2021-10-28 23:31:35,685 DEBUG   : /static/static/video path exist
2021-10-28 23:31:35,818 DEBUG   : test2.mp4 save successfully
2021-11-08 16:24:28,571 DEBUG   : filename is test1.mp4
2021-11-08 16:24:28,630 DEBUG   : /static/static/video path exist
2021-11-08 16:24:28,654 DEBUG   : test1.mp4 save successfully
2021-11-13 18:49:21,699 DEBUG   : No file part
2021-11-13 18:52:42,389 DEBUG   : No file part
2021-11-13 18:53:44,378 DEBUG   : filename is 1.2 解题技巧.mp4
2021-11-13 18:53:51,655 DEBUG   : D:\1课程资料\大三上\flask学习\黑色科技模板\1123zh13\舞云端界面/static/video/ path exist
2021-11-13 18:54:03,259 DEBUG   : 1.2 解题技巧.mp4 save successfully
2021-11-13 19:00:55,128 DEBUG   : filename is 1.2 解题技巧.mp4
2021-11-13 19:00:56,661 DEBUG   : D:\1课程资料\大三上\舞云端Code path exist
2021-11-13 19:01:01,010 DEBUG   : 1.2 解题技巧.mp4 save successfully
2021-11-13 19:08:59,680 DEBUG   : task1_lyw.pdf not allowed
2021-11-13 19:09:20,030 DEBUG   : task1_lyw.pdf not allowed
2021-11-13 19:09:23,841 DEBUG   : filename is 1.2 解题技巧.mp4
2021-11-13 19:09:26,453 DEBUG   : D:\1课程资料\大三上\舞云端Code path exist
2021-11-13 19:09:29,155 DEBUG   : 1.2 解题技巧.mp4 save successfully
2021-11-13 19:25:04,034 DEBUG   : filename is 1.2 解题技巧.mp4
2021-11-13 19:25:06,465 DEBUG   : D:\1课程资料\大三上\舞云端Code path exist
2021-11-13 19:25:35,521 DEBUG   : filename is 1.2 解题技巧.mp4
2021-11-13 19:25:36,333 DEBUG   : D:\1课程资料\大三上\深度学习 path exist
2021-11-13 19:25:54,560 DEBUG   : filename is 1.2 解题技巧.mp4
2021-11-13 19:25:57,386 DEBUG   : D:\1课程资料\大三上\深度学习 path exist
2021-11-13 19:28:14,070 DEBUG   : filename is 1.2 解题技巧.mp4
2021-11-13 19:28:16,193 DEBUG   : D:\1课程资料\大三上\深度学习 path exist
2021-11-13 19:28:45,470 DEBUG   : 1.2 解题技巧.mp4 save successfully
